Using ParallelNet
  Braid: Max. iterations reached.

  Braid: Max. iterations reached.

TIME FORWARD:  4.35e+00
TIME BACKWARD: 7.98e+00

   *** Proc = 0        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||       129        |    6.6425e-04    |    5.1492e-06    |    2.3083e-05    |
  BckWD::bufsize    ||        11        |    1.3430e-04    |    1.2209e-05    |    3.8579e-06    |
  BckWD::bufunpack  ||        11        |    7.6068e-03    |    6.9153e-04    |    2.3514e-04    |
  BckWD::clone      ||       482        |    2.4045e-01    |    4.9886e-04    |    2.7609e-04    |
  BckWD::free       ||       493        |    1.0719e-01    |    2.1742e-04    |    3.8039e-04    |
  BckWD::init       ||        33        |    2.5904e-02    |    7.8498e-04    |    1.9903e-04    |
  BckWD::norm       ||        66        |    3.8314e-02    |    5.8052e-04    |    1.1198e-05    |
  BckWD::step       ||       603        |    6.6233e+00    |    1.0984e-02    |    2.3553e-03    |
  BckWD::sum        ||       618        |    2.7618e-01    |    4.4690e-04    |    1.0245e-04    |
  ForWD::access     ||       129        |    2.1214e-04    |    1.6445e-06    |    7.9193e-07    |
  ForWD::bufpack    ||        13        |    1.0771e-02    |    8.2857e-04    |    4.0347e-04    |
  ForWD::bufsize    ||        13        |    1.7413e-04    |    1.3394e-05    |    4.2506e-06    |
  ForWD::clone      ||       938        |    5.6009e-01    |    5.9711e-04    |    3.8581e-04    |
  ForWD::free       ||       842        |    2.3900e-02    |    2.8384e-05    |    2.1257e-04    |
  ForWD::getUVector ||       603        |    4.7009e-03    |    7.7959e-06    |    1.7194e-06    |
  ForWD::init       ||        33        |    3.4314e-02    |    1.0398e-03    |    1.7546e-04    |
  ForWD::norm       ||        64        |    3.5789e-02    |    5.5921e-04    |    1.0157e-05    |
  ForWD::runBraid   ||        1         |    4.3419e+00    |    4.3419e+00    |    0.0000e+00    |
  ForWD::step       ||       560        |    3.0446e+00    |    5.4367e-03    |    1.1391e-03    |
  ForWD::sum        ||       592        |    2.6443e-01    |    4.4667e-04    |    1.0143e-04    |

   *** Proc = 1        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||       128        |    4.5305e-04    |    3.5395e-06    |    7.1859e-07    |
  BckWD::bufpack    ||        11        |    5.1457e-03    |    4.6779e-04    |    1.6553e-04    |
  BckWD::bufsize    ||        22        |    2.3327e-03    |    1.0603e-04    |    4.3853e-04    |
  BckWD::bufunpack  ||        11        |    6.7667e-03    |    6.1515e-04    |    4.5068e-05    |
  BckWD::clone      ||       464        |    1.6242e-01    |    3.5005e-04    |    9.7917e-05    |
  BckWD::free       ||       475        |    2.1890e-03    |    4.6085e-06    |    1.7398e-06    |
  BckWD::init       ||        32        |    3.1608e-02    |    9.8774e-04    |    1.1906e-04    |
  BckWD::norm       ||        64        |    3.6851e-02    |    5.7580e-04    |    1.1568e-05    |
  BckWD::step       ||       592        |    5.5939e+00    |    9.4492e-03    |    6.9401e-04    |
  BckWD::sum        ||       592        |    2.7951e-01    |    4.7215e-04    |    1.3410e-04    |
  ForWD::access     ||       128        |    2.3594e-04    |    1.8433e-06    |    8.9743e-07    |
  ForWD::bufpack    ||        13        |    9.3059e-03    |    7.1584e-04    |    4.0991e-04    |
  ForWD::bufsize    ||        26        |    2.4431e-04    |    9.3966e-06    |    6.0780e-06    |
  ForWD::bufunpack  ||        13        |    9.4656e-03    |    7.2812e-04    |    3.5864e-04    |
  ForWD::clone      ||       921        |    5.0740e-01    |    5.5093e-04    |    3.5987e-04    |
  ForWD::free       ||       838        |    1.9754e-02    |    2.3573e-05    |    1.6212e-04    |
  ForWD::getUVector ||       592        |    5.4644e-03    |    9.2304e-06    |    2.5257e-06    |
  ForWD::init       ||        32        |    3.3783e-02    |    1.0557e-03    |    1.2380e-05    |
  ForWD::norm       ||        64        |    3.4746e-02    |    5.4291e-04    |    9.1026e-06    |
  ForWD::runBraid   ||        1         |    4.3419e+00    |    4.3419e+00    |    0.0000e+00    |
  ForWD::step       ||       560        |    2.9270e+00    |    5.2267e-03    |    1.1213e-03    |
  ForWD::sum        ||       592        |    2.5843e-01    |    4.3654e-04    |    1.0891e-04    |

   *** Proc = 2        ***
