Using ParallelNet
  Braid: Max. iterations reached.

  Braid: Max. iterations reached.

TIME FORWARD:  2.76e+00
TIME BACKWARD: 5.42e+00

   *** Proc = 0        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        65        |    7.0075e-04    |    1.0781e-05    |    5.9705e-05    |
  BckWD::bufsize    ||        11        |    1.5818e-04    |    1.4380e-05    |    6.3283e-06    |
  BckWD::bufunpack  ||        11        |    7.3012e-03    |    6.6374e-04    |    9.4345e-05    |
  BckWD::clone      ||       250        |    1.1565e-01    |    4.6262e-04    |    1.3103e-04    |
  BckWD::free       ||       261        |    3.2481e-03    |    1.2445e-05    |    6.8592e-05    |
  BckWD::init       ||        17        |    1.6511e-02    |    9.7126e-04    |    2.2186e-04    |
  BckWD::norm       ||        34        |    2.1178e-02    |    6.2289e-04    |    3.2302e-05    |
  BckWD::step       ||       307        |    3.5356e+00    |    1.1517e-02    |    1.2361e-03    |
  BckWD::sum        ||       322        |    1.6548e-01    |    5.1390e-04    |    9.0628e-05    |
  ForWD::access     ||        65        |    1.9008e-04    |    2.9244e-06    |    1.3354e-06    |
  ForWD::bufpack    ||        13        |    1.1265e-02    |    8.6652e-04    |    5.1628e-04    |
  ForWD::bufsize    ||        13        |    1.6527e-04    |    1.2713e-05    |    3.4244e-06    |
  ForWD::clone      ||       474        |    3.2728e-01    |    6.9047e-04    |    4.1586e-04    |
  ForWD::free       ||       426        |    1.4728e-02    |    3.4573e-05    |    1.7628e-04    |
  ForWD::getUVector ||       307        |    2.6602e-03    |    8.6650e-06    |    1.9094e-06    |
  ForWD::init       ||        17        |    1.8652e-02    |    1.0972e-03    |    2.6180e-04    |
  ForWD::norm       ||        32        |    1.9200e-02    |    5.9999e-04    |    1.8000e-05    |
  ForWD::runBraid   ||        1         |    2.7458e+00    |    2.7458e+00    |    0.0000e+00    |
  ForWD::step       ||       280        |    1.7139e+00    |    6.1212e-03    |    1.4243e-03    |
  ForWD::sum        ||       296        |    1.4070e-01    |    4.7533e-04    |    7.4770e-05    |

   *** Proc = 1        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        64        |    2.3601e-04    |    3.6877e-06    |    9.2048e-07    |
  BckWD::bufpack    ||        11        |    5.0534e-03    |    4.5940e-04    |    1.4388e-04    |
  BckWD::bufsize    ||        22        |    2.5467e-04    |    1.1576e-05    |    5.9294e-06    |
  BckWD::bufunpack  ||        11        |    8.3471e-03    |    7.5882e-04    |    7.4483e-05    |
  BckWD::clone      ||       232        |    1.0272e-01    |    4.4278e-04    |    1.0816e-04    |
  BckWD::free       ||       243        |    1.4467e-03    |    5.9537e-06    |    3.5853e-06    |
  BckWD::init       ||        16        |    1.2690e-02    |    7.9311e-04    |    1.9344e-04    |
  BckWD::norm       ||        32        |    1.9807e-02    |    6.1898e-04    |    2.3921e-05    |
  BckWD::step       ||       296        |    3.3666e+00    |    1.1374e-02    |    1.1827e-03    |
  BckWD::sum        ||       296        |    1.5512e-01    |    5.2406e-04    |    1.1438e-04    |
  ForWD::access     ||        64        |    1.5525e-04    |    2.4257e-06    |    1.5682e-06    |
  ForWD::bufpack    ||        13        |    1.0325e-02    |    7.9425e-04    |    4.5588e-04    |
  ForWD::bufsize    ||        26        |    2.5131e-04    |    9.6659e-06    |    5.8942e-06    |
  ForWD::bufunpack  ||        13        |    1.1408e-02    |    8.7757e-04    |    4.2983e-04    |
  ForWD::clone      ||       457        |    2.7975e-01    |    6.1214e-04    |    3.7501e-04    |
  ForWD::free       ||       422        |    1.7178e-02    |    4.0707e-05    |    2.1437e-04    |
  ForWD::getUVector ||       296        |    3.3622e-03    |    1.1359e-05    |    2.9869e-06    |
  ForWD::init       ||        16        |    1.7898e-02    |    1.1186e-03    |    3.1902e-05    |
  ForWD::norm       ||        32        |    1.8702e-02    |    5.8444e-04    |    1.6692e-05    |
  ForWD::runBraid   ||        1         |    2.7458e+00    |    2.7458e+00    |    0.0000e+00    |
  ForWD::step       ||       280        |    1.6296e+00    |    5.8200e-03    |    1.3326e-03    |
  ForWD::sum        ||       296        |    1.3496e-01    |    4.5593e-04    |    6.7643e-05    |

   *** Proc = 2        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        64        |    2.5853e-04    |    4.0395e-06    |    1.7349e-06    |
  BckWD::bufpack    ||        11        |    5.8600e-03    |    5.3273e-04    |    3.0938e-04    |
  BckWD::bufsize    ||        22        |    2.3452e-04    |    1.0660e-05    |    5.1474e-06    |
  BckWD::bufunpack  ||        11        |    1.1650e-02    |    1.0591e-03    |    4.3733e-04    |
  BckWD::clone      ||       232        |    1.3112e-01    |    5.6518e-04    |    2.9623e-04    |
  BckWD::free       ||       243        |    6.1903e-02    |    2.5474e-04    |    3.9041e-04    |
