Using ParallelNet
  Braid: Max. iterations reached.

  Braid: Max. iterations reached.

TIME FORWARD:  4.37e+00
TIME BACKWARD: 8.17e+00

   *** Proc = 0        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||       129        |    8.2290e-04    |    6.3791e-06    |    3.2513e-05    |
  BckWD::bufsize    ||        11        |    1.2297e-04    |    1.1179e-05    |    2.6643e-06    |
  BckWD::bufunpack  ||        11        |    9.0423e-03    |    8.2203e-04    |    3.0285e-04    |
  BckWD::clone      ||       482        |    2.5097e-01    |    5.2068e-04    |    3.3477e-04    |
  BckWD::free       ||       493        |    1.0901e-01    |    2.2111e-04    |    3.8084e-04    |
  BckWD::init       ||        33        |    2.4874e-02    |    7.5375e-04    |    1.6572e-04    |
  BckWD::norm       ||        66        |    3.8303e-02    |    5.8035e-04    |    1.0250e-05    |
  BckWD::step       ||       603        |    6.6441e+00    |    1.1018e-02    |    2.6416e-03    |
  BckWD::sum        ||       618        |    2.9631e-01    |    4.7947e-04    |    1.3491e-04    |
  ForWD::access     ||       129        |    2.0154e-04    |    1.5623e-06    |    7.7891e-07    |
  ForWD::bufpack    ||        13        |    1.0662e-02    |    8.2015e-04    |    4.0550e-04    |
  ForWD::bufsize    ||        13        |    1.8083e-04    |    1.3910e-05    |    4.5470e-06    |
  ForWD::clone      ||       938        |    5.5688e-01    |    5.9369e-04    |    3.6683e-04    |
  ForWD::free       ||       842        |    2.3535e-02    |    2.7951e-05    |    2.6858e-04    |
  ForWD::getUVector ||       603        |    4.6507e-03    |    7.7126e-06    |    1.6945e-06    |
  ForWD::init       ||        33        |    3.4542e-02    |    1.0467e-03    |    1.7543e-04    |
  ForWD::norm       ||        64        |    3.5779e-02    |    5.5905e-04    |    1.1162e-05    |
  ForWD::runBraid   ||        1         |    4.3581e+00    |    4.3581e+00    |    0.0000e+00    |
  ForWD::step       ||       560        |    3.0255e+00    |    5.4027e-03    |    1.1405e-03    |
  ForWD::sum        ||       592        |    2.6313e-01    |    4.4448e-04    |    1.0602e-04    |

   *** Proc = 1        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||       128        |    4.5011e-04    |    3.5165e-06    |    9.9050e-07    |
  BckWD::bufpack    ||        11        |    5.1870e-03    |    4.7155e-04    |    2.6337e-04    |
