Using ParallelNet
  Braid: Max. iterations reached.

  Braid: Max. iterations reached.

TIME FORWARD:  2.17e+00
TIME BACKWARD: 4.95e+00

   *** Proc = 0        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        33        |    6.5612e-04    |    1.9882e-05    |    9.5710e-05    |
  BckWD::bufsize    ||        11        |    1.5331e-04    |    1.3937e-05    |    5.4741e-06    |
  BckWD::bufunpack  ||        11        |    1.0925e-02    |    9.9323e-04    |    3.5421e-04    |
  BckWD::clone      ||       134        |    1.1459e-01    |    8.5516e-04    |    4.2550e-04    |
  BckWD::free       ||       145        |    5.4975e-02    |    3.7914e-04    |    5.4573e-04    |
  BckWD::init       ||        9         |    1.0965e-02    |    1.2183e-03    |    6.3421e-05    |
  BckWD::norm       ||        18        |    1.3497e-02    |    7.4986e-04    |    1.5751e-04    |
  BckWD::step       ||       159        |    2.7383e+00    |    1.7222e-02    |    5.1479e-03    |
  BckWD::sum        ||       174        |    1.5325e-01    |    8.8075e-04    |    3.9559e-04    |
  ForWD::access     ||        33        |    9.4054e-05    |    2.8501e-06    |    2.3110e-06    |
  ForWD::bufpack    ||        13        |    1.7064e-02    |    1.3126e-03    |    5.5983e-04    |
  ForWD::bufsize    ||        13        |    2.0827e-04    |    1.6021e-05    |    5.9183e-06    |
  ForWD::clone      ||       242        |    2.0760e-01    |    8.5785e-04    |    5.7072e-04    |
  ForWD::free       ||       218        |    5.5089e-03    |    2.5270e-05    |    9.5159e-05    |
  ForWD::getUVector ||       159        |    1.9010e-03    |    1.1956e-05    |    5.0073e-06    |
  ForWD::init       ||        9         |    9.4150e-03    |    1.0461e-03    |    3.6618e-04    |
  ForWD::norm       ||        16        |    1.0776e-02    |    6.7351e-04    |    2.7362e-05    |
  ForWD::runBraid   ||        1         |    2.1552e+00    |    2.1552e+00    |    0.0000e+00    |
  ForWD::step       ||       140        |    9.9403e-01    |    7.1002e-03    |    2.0649e-03    |
  ForWD::sum        ||       148        |    1.0661e-01    |    7.2031e-04    |    3.6348e-04    |

   *** Proc = 1        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        32        |    1.2506e-04    |    3.9080e-06    |    6.7448e-07    |
  BckWD::bufpack    ||        11        |    9.4157e-03    |    8.5597e-04    |    3.7616e-04    |
  BckWD::bufsize    ||        22        |    3.3539e-04    |    1.5245e-05    |    7.6678e-06    |
  BckWD::bufunpack  ||        11        |    1.3014e-02    |    1.1831e-03    |    6.6576e-04    |
  BckWD::clone      ||       116        |    8.5616e-02    |    7.3807e-04    |    2.8023e-04    |
  BckWD::free       ||       127        |    5.9460e-03    |    4.6819e-05    |    1.9773e-04    |
  BckWD::init       ||        8         |    8.7103e-03    |    1.0888e-03    |    1.6473e-04    |
  BckWD::norm       ||        16        |    1.2318e-02    |    7.6989e-04    |    1.1490e-04    |
  BckWD::step       ||       148        |    2.3160e+00    |    1.5649e-02    |    4.1237e-03    |
  BckWD::sum        ||       148        |    1.2521e-01    |    8.4604e-04    |    3.3151e-04    |
  ForWD::access     ||        32        |    1.0079e-04    |    3.1497e-06    |    2.6702e-06    |
  ForWD::bufpack    ||        13        |    1.2386e-02    |    9.5275e-04    |    6.2336e-04    |
  ForWD::bufsize    ||        26        |    2.7104e-04    |    1.0425e-05    |    8.6297e-06    |
  ForWD::bufunpack  ||        13        |    1.4712e-02    |    1.1317e-03    |    6.4755e-04    |
  ForWD::clone      ||       225        |    1.5201e-01    |    6.7561e-04    |    4.1202e-04    |
  ForWD::free       ||       214        |    1.2812e-02    |    5.9868e-05    |    2.2431e-04    |
  ForWD::getUVector ||       148        |    2.0201e-03    |    1.3649e-05    |    6.8597e-06    |
  ForWD::init       ||        8         |    9.7167e-03    |    1.2146e-03    |    1.1167e-04    |
  ForWD::norm       ||        16        |    1.1210e-02    |    7.0060e-04    |    5.8291e-05    |
  ForWD::runBraid   ||        1         |    2.1547e+00    |    2.1547e+00    |    0.0000e+00    |
  ForWD::step       ||       140        |    9.6138e-01    |    6.8670e-03    |    1.8198e-03    |
  ForWD::sum        ||       148        |    9.2599e-02    |    6.2567e-04    |    2.9242e-04    |

   *** Proc = 2        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        32        |    1.1154e-04    |    3.4858e-06    |    5.1025e-07    |
  BckWD::bufpack    ||        11        |    9.4901e-03    |    8.6274e-04    |    4.5416e-04    |
  BckWD::bufsize    ||        22        |    2.6440e-04    |    1.2018e-05    |    5.6643e-06    |
  BckWD::bufunpack  ||        11        |    1.3206e-02    |    1.2006e-03    |    6.7748e-04    |
  BckWD::clone      ||       116        |    9.0197e-02    |    7.7756e-04    |    3.4158e-04    |
  BckWD::free       ||       127        |    3.0408e-02    |    2.3944e-04    |    4.5617e-04    |
  BckWD::init       ||        8         |    8.7362e-03    |    1.0920e-03    |    9.6106e-05    |
  BckWD::norm       ||        16        |    1.2330e-02    |    7.7063e-04    |    1.0368e-04    |
  BckWD::step       ||       148        |    2.5138e+00    |    1.6985e-02    |    4.3461e-03    |
  BckWD::sum        ||       148        |    1.2206e-01    |    8.2474e-04    |    2.9999e-04    |
  ForWD::access     ||        32        |    7.8977e-05    |    2.4680e-06    |    1.2970e-06    |
  ForWD::bufpack    ||        13        |    1.4565e-02    |    1.1204e-03    |    7.0104e-04    |
  ForWD::bufsize    ||        26        |    2.9496e-04    |    1.1345e-05    |    7.1998e-06    |
  ForWD::bufunpack  ||        13        |    1.4657e-02    |    1.1275e-03    |    5.5967e-04    |
  ForWD::clone      ||       225        |    1.6627e-01    |    7.3899e-04    |    4.5678e-04    |
  ForWD::free       ||       214        |    1.3073e-02    |    6.1087e-05    |    2.2632e-04    |
  ForWD::getUVector ||       148        |    1.8150e-03    |    1.2263e-05    |    5.4952e-06    |
  ForWD::init       ||        8         |    1.1457e-02    |    1.4321e-03    |    6.5383e-04    |
  ForWD::norm       ||        16        |    1.1052e-02    |    6.9078e-04    |    5.9533e-05    |
  ForWD::runBraid   ||        1         |    2.1550e+00    |    2.1550e+00    |    0.0000e+00    |
  ForWD::step       ||       140        |    9.9176e-01    |    7.0840e-03    |    1.6227e-03    |
  ForWD::sum        ||       148        |    1.0212e-01    |    6.8997e-04    |    3.0089e-04    |

   *** Proc = 3        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        32        |    1.6418e-04    |    5.1306e-06    |    1.3606e-06    |
  BckWD::bufpack    ||        11        |    8.5815e-03    |    7.8014e-04    |    4.2301e-04    |
  BckWD::bufsize    ||        22        |    3.0424e-04    |    1.3829e-05    |    6.7152e-06    |
  BckWD::bufunpack  ||        11        |    1.1347e-02    |    1.0315e-03    |    4.4340e-04    |
  BckWD::clone      ||       116        |    8.2896e-02    |    7.1462e-04    |    2.3782e-04    |
  BckWD::free       ||       127        |    2.8190e-02    |    2.2197e-04    |    4.6450e-04    |
  BckWD::init       ||        8         |    9.7011e-03    |    1.2126e-03    |    1.4336e-04    |
  BckWD::norm       ||        16        |    1.2051e-02    |    7.5319e-04    |    8.2341e-05    |
  BckWD::step       ||       148        |    2.5438e+00    |    1.7188e-02    |    4.3933e-03    |
  BckWD::sum        ||       148        |    1.2637e-01    |    8.5388e-04    |    3.4078e-04    |
  ForWD::access     ||        32        |    8.8373e-05    |    2.7616e-06    |    2.4984e-06    |
