Using ParallelNet
  Braid: Max. iterations reached.

  Braid: Max. iterations reached.

TIME FORWARD:  2.17e+00
TIME BACKWARD: 4.75e+00

   *** Proc = 0        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        33        |    7.5488e-04    |    2.2875e-05    |    1.0798e-04    |
  BckWD::bufsize    ||        11        |    1.5051e-04    |    1.3682e-05    |    4.9664e-06    |
  BckWD::bufunpack  ||        11        |    1.5946e-02    |    1.4496e-03    |    8.2076e-04    |
  BckWD::clone      ||       134        |    1.0258e-01    |    7.6552e-04    |    3.3946e-04    |
  BckWD::free       ||       145        |    1.8907e-02    |    1.3040e-04    |    3.3569e-04    |
  BckWD::init       ||        9         |    1.0974e-02    |    1.2193e-03    |    5.3361e-05    |
  BckWD::norm       ||        18        |    1.3245e-02    |    7.3582e-04    |    9.5921e-05    |
  BckWD::step       ||       159        |    2.5235e+00    |    1.5871e-02    |    4.2625e-03    |
  BckWD::sum        ||       174        |    1.4222e-01    |    8.1736e-04    |    3.3558e-04    |
  ForWD::access     ||        33        |    8.3630e-05    |    2.5343e-06    |    1.6962e-06    |
  ForWD::bufpack    ||        13        |    1.4313e-02    |    1.1010e-03    |    7.8138e-04    |
  ForWD::bufsize    ||        13        |    2.2737e-04    |    1.7490e-05    |    9.8949e-06    |
  ForWD::clone      ||       242        |    1.8591e-01    |    7.6821e-04    |    4.7851e-04    |
  ForWD::free       ||       218        |    1.2644e-02    |    5.8002e-05    |    2.5768e-04    |
  ForWD::getUVector ||       159        |    1.9495e-03    |    1.2261e-05    |    5.5045e-06    |
  ForWD::init       ||        9         |    1.1614e-02    |    1.2904e-03    |    7.4875e-04    |
  ForWD::norm       ||        16        |    1.0892e-02    |    6.8072e-04    |    6.1975e-05    |
  ForWD::runBraid   ||        1         |    2.1607e+00    |    2.1607e+00    |    0.0000e+00    |
  ForWD::step       ||       140        |    9.8157e-01    |    7.0112e-03    |    1.8376e-03    |
  ForWD::sum        ||       148        |    1.1213e-01    |    7.5763e-04    |    4.0421e-04    |

   *** Proc = 1        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        32        |    1.3580e-04    |    4.2436e-06    |    1.0605e-06    |
