Using ParallelNet
  Braid: Max. iterations reached.

  Braid: Max. iterations reached.

TIME FORWARD:  2.79e+00
TIME BACKWARD: 5.44e+00

   *** Proc = 0        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        65        |    8.2958e-04    |    1.2763e-05    |    7.4445e-05    |
  BckWD::bufsize    ||        11        |    1.3999e-04    |    1.2726e-05    |    3.2638e-06    |
  BckWD::bufunpack  ||        11        |    1.0729e-02    |    9.7540e-04    |    4.5879e-04    |
  BckWD::clone      ||       250        |    1.2052e-01    |    4.8208e-04    |    1.9186e-04    |
  BckWD::free       ||       261        |    2.0888e-02    |    8.0031e-05    |    2.3940e-04    |
  BckWD::init       ||        17        |    1.5999e-02    |    9.4111e-04    |    2.3178e-04    |
  BckWD::norm       ||        34        |    2.1081e-02    |    6.2004e-04    |    2.0279e-05    |
  BckWD::step       ||       307        |    3.6547e+00    |    1.1905e-02    |    2.1157e-03    |
  BckWD::sum        ||       322        |    1.6314e-01    |    5.0666e-04    |    9.6340e-05    |
  ForWD::access     ||        65        |    1.4470e-04    |    2.2261e-06    |    1.0339e-06    |
  ForWD::bufpack    ||        13        |    1.1116e-02    |    8.5506e-04    |    4.9461e-04    |
  ForWD::bufsize    ||        13        |    1.6211e-04    |    1.2470e-05    |    3.1788e-06    |
  ForWD::clone      ||       474        |    3.2337e-01    |    6.8222e-04    |    4.1037e-04    |
  ForWD::free       ||       426        |    1.7521e-02    |    4.1129e-05    |    2.3899e-04    |
  ForWD::getUVector ||       307        |    2.8133e-03    |    9.1639e-06    |    2.3975e-06    |
  ForWD::init       ||        17        |    1.8654e-02    |    1.0973e-03    |    2.6232e-04    |
  ForWD::norm       ||        32        |    1.9252e-02    |    6.0162e-04    |    1.0574e-05    |
  ForWD::runBraid   ||        1         |    2.7813e+00    |    2.7813e+00    |    0.0000e+00    |
  ForWD::step       ||       280        |    1.7350e+00    |    6.1964e-03    |    1.4585e-03    |
  ForWD::sum        ||       296        |    1.3808e-01    |    4.6648e-04    |    6.9043e-05    |

   *** Proc = 1        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        64        |    2.4805e-04    |    3.8758e-06    |    9.0409e-07    |
  BckWD::bufpack    ||        11        |    5.2648e-03    |    4.7861e-04    |    1.1272e-04    |
  BckWD::bufsize    ||        22        |    2.7344e-04    |    1.2429e-05    |    6.0235e-06    |
  BckWD::bufunpack  ||        11        |    8.8191e-03    |    8.0173e-04    |    1.2748e-04    |
  BckWD::clone      ||       232        |    1.0703e-01    |    4.6135e-04    |    1.3664e-04    |
  BckWD::free       ||       243        |    1.3602e-03    |    5.5976e-06    |    2.9191e-06    |
  BckWD::init       ||        16        |    1.4093e-02    |    8.8082e-04    |    2.2638e-04    |
  BckWD::norm       ||        32        |    1.9791e-02    |    6.1848e-04    |    2.6559e-05    |
  BckWD::step       ||       296        |    3.3369e+00    |    1.1273e-02    |    1.2578e-03    |
  BckWD::sum        ||       296        |    1.4847e-01    |    5.0158e-04    |    1.1216e-04    |
  ForWD::access     ||        64        |    1.6526e-04    |    2.5823e-06    |    1.2715e-06    |
  ForWD::bufpack    ||        13        |    1.0661e-02    |    8.2010e-04    |    4.6833e-04    |
  ForWD::bufsize    ||        26        |    2.2890e-04    |    8.8039e-06    |    4.9492e-06    |
  ForWD::bufunpack  ||        13        |    1.1396e-02    |    8.7662e-04    |    4.4464e-04    |
  ForWD::clone      ||       457        |    2.7724e-01    |    6.0665e-04    |    3.6818e-04    |
  ForWD::free       ||       422        |    1.7683e-02    |    4.1903e-05    |    2.0138e-04    |
  ForWD::getUVector ||       296        |    2.9801e-03    |    1.0068e-05    |    2.5903e-06    |
  ForWD::init       ||        16        |    1.8246e-02    |    1.1404e-03    |    2.7200e-05    |
  ForWD::norm       ||        32        |    1.8547e-02    |    5.7959e-04    |    1.2785e-05    |
  ForWD::runBraid   ||        1         |    2.7813e+00    |    2.7813e+00    |    0.0000e+00    |
  ForWD::step       ||       280        |    1.6061e+00    |    5.7362e-03    |    1.2620e-03    |
  ForWD::sum        ||       296        |    1.4058e-01    |    4.7492e-04    |    1.7649e-04    |

   *** Proc = 2        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        64        |    2.4689e-04    |    3.8577e-06    |    9.0876e-07    |
  BckWD::bufpack    ||        11        |    6.0133e-03    |    5.4667e-04    |    3.2105e-04    |
  BckWD::bufsize    ||        22        |    2.1443e-04    |    9.7469e-06    |    4.3447e-06    |
