Using ParallelNet
  Braid: Max. iterations reached.

  Braid: Max. iterations reached.

TIME FORWARD:  2.14e+00
TIME BACKWARD: 4.81e+00

   *** Proc = 0        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        33        |    5.3144e-04    |    1.6104e-05    |    6.8088e-05    |
  BckWD::bufsize    ||        11        |    1.6512e-04    |    1.5011e-05    |    5.6552e-06    |
  BckWD::bufunpack  ||        11        |    1.2468e-02    |    1.1334e-03    |    4.7743e-04    |
  BckWD::clone      ||       134        |    9.0752e-02    |    6.7725e-04    |    2.8425e-04    |
  BckWD::free       ||       145        |    9.1584e-03    |    6.3161e-05    |    2.4809e-04    |
  BckWD::init       ||        9         |    9.6480e-03    |    1.0720e-03    |    1.5529e-04    |
  BckWD::norm       ||        18        |    1.3573e-02    |    7.5403e-04    |    1.6775e-04    |
  BckWD::step       ||       159        |    2.4087e+00    |    1.5149e-02    |    4.1735e-03    |
  BckWD::sum        ||       174        |    1.3565e-01    |    7.7960e-04    |    2.9675e-04    |
  ForWD::access     ||        33        |    7.2173e-05    |    2.1871e-06    |    1.3294e-06    |
  ForWD::bufpack    ||        13        |    1.6785e-02    |    1.2912e-03    |    1.0489e-03    |
  ForWD::bufsize    ||        13        |    2.0289e-04    |    1.5607e-05    |    5.5179e-06    |
  ForWD::clone      ||       242        |    1.7147e-01    |    7.0857e-04    |    4.7894e-04    |
  ForWD::free       ||       218        |    1.0178e-02    |    4.6690e-05    |    2.1690e-04    |
  ForWD::getUVector ||       159        |    1.9087e-03    |    1.2004e-05    |    5.7604e-06    |
  ForWD::init       ||        9         |    9.0102e-03    |    1.0011e-03    |    3.4886e-04    |
  ForWD::norm       ||        16        |    1.0794e-02    |    6.7465e-04    |    4.8262e-05    |
  ForWD::runBraid   ||        1         |    2.1343e+00    |    2.1343e+00    |    0.0000e+00    |
  ForWD::step       ||       140        |    9.7721e-01    |    6.9801e-03    |    1.8005e-03    |
  ForWD::sum        ||       148        |    9.7642e-02    |    6.5975e-04    |    2.8968e-04    |

   *** Proc = 1        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        32        |    1.2782e-04    |    3.9943e-06    |    7.9089e-07    |
  BckWD::bufpack    ||        11        |    8.9140e-03    |    8.1036e-04    |    4.2434e-04    |
  BckWD::bufsize    ||        22        |    2.7878e-04    |    1.2672e-05    |    6.0328e-06    |
  BckWD::bufunpack  ||        11        |    1.4716e-02    |    1.3378e-03    |    5.1839e-04    |
  BckWD::clone      ||       116        |    1.0077e-01    |    8.6872e-04    |    4.2981e-04    |
  BckWD::free       ||       127        |    3.8810e-02    |    3.0559e-04    |    5.3885e-04    |
  BckWD::init       ||        8         |    9.0255e-03    |    1.1282e-03    |    1.0788e-04    |
  BckWD::norm       ||        16        |    1.1969e-02    |    7.4809e-04    |    1.1360e-04    |
  BckWD::step       ||       148        |    2.4026e+00    |    1.6234e-02    |    4.7952e-03    |
  BckWD::sum        ||       148        |    1.2248e-01    |    8.2757e-04    |    3.5083e-04    |
