Using ParallelNet
  Braid: Max. iterations reached.

  Braid: Max. iterations reached.

TIME FORWARD:  2.16e+00
TIME BACKWARD: 4.67e+00

   *** Proc = 0        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        33        |    6.9727e-04    |    2.1130e-05    |    1.0115e-04    |
  BckWD::bufsize    ||        11        |    1.4357e-04    |    1.3052e-05    |    5.9886e-06    |
  BckWD::bufunpack  ||        11        |    1.1619e-02    |    1.0562e-03    |    4.4275e-04    |
  BckWD::clone      ||       134        |    9.6877e-02    |    7.2296e-04    |    3.0201e-04    |
  BckWD::free       ||       145        |    6.3689e-03    |    4.3923e-05    |    1.9464e-04    |
  BckWD::init       ||        9         |    1.1509e-02    |    1.2788e-03    |    1.5273e-04    |
  BckWD::norm       ||        18        |    1.3219e-02    |    7.3441e-04    |    1.1261e-04    |
  BckWD::step       ||       159        |    2.4498e+00    |    1.5407e-02    |    4.2629e-03    |
  BckWD::sum        ||       174        |    1.4287e-01    |    8.2109e-04    |    3.3135e-04    |
  ForWD::access     ||        33        |    8.0610e-05    |    2.4427e-06    |    1.3362e-06    |
  ForWD::bufpack    ||        13        |    1.4320e-02    |    1.1015e-03    |    7.9485e-04    |
  ForWD::bufsize    ||        13        |    2.1255e-04    |    1.6350e-05    |    6.4264e-06    |
  ForWD::clone      ||       242        |    1.7910e-01    |    7.4007e-04    |    4.9951e-04    |
  ForWD::free       ||       218        |    1.0201e-02    |    4.6793e-05    |    2.1803e-04    |
  ForWD::getUVector ||       159        |    2.2030e-03    |    1.3855e-05    |    6.8613e-06    |
  ForWD::init       ||        9         |    9.2921e-03    |    1.0325e-03    |    3.5758e-04    |
  ForWD::norm       ||        16        |    1.0825e-02    |    6.7657e-04    |    4.5701e-05    |
  ForWD::runBraid   ||        1         |    2.1540e+00    |    2.1540e+00    |    0.0000e+00    |
  ForWD::step       ||       140        |    9.8789e-01    |    7.0564e-03    |    1.9463e-03    |
  ForWD::sum        ||       148        |    1.0403e-01    |    7.0289e-04    |    3.7689e-04    |

   *** Proc = 1        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        32        |    1.4113e-04    |    4.4102e-06    |    1.2387e-06    |
  BckWD::bufpack    ||        11        |    9.0858e-03    |    8.2598e-04    |    4.5438e-04    |
  BckWD::bufsize    ||        22        |    3.1285e-04    |    1.4220e-05    |    7.3530e-06    |
  BckWD::bufunpack  ||        11        |    1.2121e-02    |    1.1019e-03    |    4.6916e-04    |
  BckWD::clone      ||       116        |    8.3771e-02    |    7.2217e-04    |    2.6628e-04    |
  BckWD::free       ||       127        |    3.1221e-03    |    2.4583e-05    |    1.1096e-04    |
  BckWD::init       ||        8         |    1.9520e-02    |    2.4400e-03    |    3.0231e-03    |
  BckWD::norm       ||        16        |    1.2127e-02    |    7.5792e-04    |    1.5773e-04    |
  BckWD::step       ||       148        |    2.2709e+00    |    1.5344e-02    |    3.6687e-03    |
  BckWD::sum        ||       148        |    1.2048e-01    |    8.1408e-04    |    3.2890e-04    |
  ForWD::access     ||        32        |    7.8105e-05    |    2.4408e-06    |    1.6000e-06    |
  ForWD::bufpack    ||        13        |    1.2575e-02    |    9.6729e-04    |    6.3513e-04    |
  ForWD::bufsize    ||        26        |    2.7280e-04    |    1.0492e-05    |    7.3750e-06    |
