Using ParallelNet
  Braid: Max. iterations reached.

  Braid: Max. iterations reached.

TIME FORWARD:  2.22e+00
TIME BACKWARD: 4.65e+00

   *** Proc = 0        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        33        |    5.0622e-04    |    1.5340e-05    |    6.9067e-05    |
  BckWD::bufsize    ||        11        |    1.5737e-04    |    1.4306e-05    |    7.6578e-06    |
  BckWD::bufunpack  ||        11        |    1.0357e-02    |    9.4154e-04    |    3.3849e-04    |
  BckWD::clone      ||       134        |    9.3409e-02    |    6.9708e-04    |    2.5287e-04    |
  BckWD::free       ||       145        |    6.3846e-03    |    4.4032e-05    |    1.6147e-04    |
  BckWD::init       ||        9         |    1.0181e-02    |    1.1312e-03    |    1.2097e-04    |
  BckWD::norm       ||        18        |    1.3763e-02    |    7.6462e-04    |    1.4536e-04    |
  BckWD::step       ||       159        |    2.4672e+00    |    1.5517e-02    |    4.1809e-03    |
  BckWD::sum        ||       174        |    1.4402e-01    |    8.2769e-04    |    3.2679e-04    |
  ForWD::access     ||        33        |    8.3294e-05    |    2.5241e-06    |    1.5894e-06    |
  ForWD::bufpack    ||        13        |    1.6707e-02    |    1.2852e-03    |    1.1849e-03    |
  ForWD::bufsize    ||        13        |    2.2202e-04    |    1.7078e-05    |    8.8041e-06    |
  ForWD::clone      ||       242        |    1.7635e-01    |    7.2871e-04    |    4.8944e-04    |
  ForWD::free       ||       218        |    1.0305e-02    |    4.7272e-05    |    2.2351e-04    |
  ForWD::getUVector ||       159        |    1.8706e-03    |    1.1765e-05    |    4.6111e-06    |
  ForWD::init       ||        9         |    9.2231e-03    |    1.0248e-03    |    3.5686e-04    |
  ForWD::norm       ||        16        |    1.0937e-02    |    6.8354e-04    |    6.7224e-05    |
  ForWD::runBraid   ||        1         |    2.2111e+00    |    2.2111e+00    |    0.0000e+00    |
  ForWD::step       ||       140        |    9.6562e-01    |    6.8973e-03    |    1.9759e-03    |
  ForWD::sum        ||       148        |    9.7881e-02    |    6.6136e-04    |    3.2847e-04    |

   *** Proc = 1        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        32        |    1.2258e-04    |    3.8307e-06    |    9.6980e-07    |
  BckWD::bufpack    ||        11        |    8.2253e-03    |    7.4775e-04    |    4.4395e-04    |
  BckWD::bufsize    ||        22        |    3.1383e-04    |    1.4265e-05    |    7.7657e-06    |
  BckWD::bufunpack  ||        11        |    1.3736e-02    |    1.2487e-03    |    6.7732e-04    |
  BckWD::clone      ||       116        |    8.4202e-02    |    7.2588e-04    |    2.7341e-04    |
  BckWD::free       ||       127        |    5.6277e-03    |    4.4313e-05    |    2.1708e-04    |
  BckWD::init       ||        8         |    9.4927e-03    |    1.1866e-03    |    1.5466e-04    |
  BckWD::norm       ||        16        |    1.2245e-02    |    7.6529e-04    |    1.2895e-04    |
  BckWD::step       ||       148        |    2.3426e+00    |    1.5829e-02    |    4.1108e-03    |
  BckWD::sum        ||       148        |    1.2132e-01    |    8.1970e-04    |    3.2949e-04    |
  ForWD::access     ||        32        |    9.6067e-05    |    3.0021e-06    |    1.6184e-06    |
  ForWD::bufpack    ||        13        |    1.0959e-02    |    8.4298e-04    |    5.3448e-04    |
  ForWD::bufsize    ||        26        |    2.5560e-04    |    9.8310e-06    |    6.5810e-06    |
  ForWD::bufunpack  ||        13        |    1.4794e-02    |    1.1380e-03    |    6.5504e-04    |
  ForWD::clone      ||       225        |    1.3983e-01    |    6.2148e-04    |    3.5367e-04    |
  ForWD::free       ||       214        |    9.5212e-03    |    4.4492e-05    |    1.8453e-04    |
  ForWD::getUVector ||       148        |    2.0163e-03    |    1.3624e-05    |    4.8600e-06    |
  ForWD::init       ||        8         |    9.7152e-03    |    1.2144e-03    |    1.1456e-04    |
  ForWD::norm       ||        16        |    1.1210e-02    |    7.0063e-04    |    7.4692e-05    |
