Using ParallelNet
  Braid: Max. iterations reached.

  Braid: Max. iterations reached.

TIME FORWARD:  2.84e+00
TIME BACKWARD: 5.63e+00

   *** Proc = 0        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        65        |    4.9224e-04    |    7.5729e-06    |    3.4138e-05    |
  BckWD::bufsize    ||        11        |    1.2838e-04    |    1.1671e-05    |    3.7122e-06    |
  BckWD::bufunpack  ||        11        |    9.0343e-03    |    8.2130e-04    |    2.8803e-04    |
  BckWD::clone      ||       250        |    1.4573e-01    |    5.8292e-04    |    3.1867e-04    |
  BckWD::free       ||       261        |    7.2008e-02    |    2.7589e-04    |    4.3325e-04    |
  BckWD::init       ||        17        |    1.7335e-02    |    1.0197e-03    |    1.7383e-04    |
  BckWD::norm       ||        34        |    2.1122e-02    |    6.2122e-04    |    2.5873e-05    |
  BckWD::step       ||       307        |    3.9954e+00    |    1.3014e-02    |    2.8943e-03    |
  BckWD::sum        ||       322        |    1.6742e-01    |    5.1993e-04    |    1.0854e-04    |
  ForWD::access     ||        65        |    1.5196e-04    |    2.3379e-06    |    1.3429e-06    |
  ForWD::bufpack    ||        13        |    1.1721e-02    |    9.0163e-04    |    4.5958e-04    |
  ForWD::bufsize    ||        13        |    1.6791e-04    |    1.2916e-05    |    3.0093e-06    |
  ForWD::clone      ||       474        |    3.1175e-01    |    6.5769e-04    |    3.8936e-04    |
  ForWD::free       ||       426        |    1.8204e-02    |    4.2733e-05    |    2.2341e-04    |
  ForWD::getUVector ||       307        |    2.6553e-03    |    8.6491e-06    |    2.3522e-06    |
  ForWD::init       ||        17        |    1.7980e-02    |    1.0576e-03    |    2.5144e-04    |
  ForWD::norm       ||        32        |    1.9114e-02    |    5.9732e-04    |    1.1574e-05    |
  ForWD::runBraid   ||        1         |    2.8319e+00    |    2.8319e+00    |    0.0000e+00    |
  ForWD::step       ||       280        |    1.7170e+00    |    6.1320e-03    |    1.3608e-03    |
  ForWD::sum        ||       296        |    1.4616e-01    |    4.9377e-04    |    1.1280e-04    |

   *** Proc = 1        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
