Using ParallelNet
  Braid: Max. iterations reached.

  Braid: Max. iterations reached.

TIME FORWARD:  2.75e+00
TIME BACKWARD: 5.42e+00

   *** Proc = 0        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        65        |    6.8520e-04    |    1.0542e-05    |    6.0171e-05    |
  BckWD::bufsize    ||        11        |    1.3423e-04    |    1.2203e-05    |    4.4438e-06    |
  BckWD::bufunpack  ||        11        |    1.1006e-02    |    1.0005e-03    |    4.3295e-04    |
  BckWD::clone      ||       250        |    1.5094e-01    |    6.0375e-04    |    3.1600e-04    |
  BckWD::free       ||       261        |    6.5163e-02    |    2.4967e-04    |    3.6471e-04    |
  BckWD::init       ||        17        |    1.6557e-02    |    9.7397e-04    |    2.0310e-04    |
  BckWD::norm       ||        34        |    2.1172e-02    |    6.2271e-04    |    2.1134e-05    |
  BckWD::step       ||       307        |    3.9642e+00    |    1.2913e-02    |    2.7473e-03    |
  BckWD::sum        ||       322        |    1.6517e-01    |    5.1294e-04    |    1.0475e-04    |
  ForWD::access     ||        65        |    1.4603e-04    |    2.2467e-06    |    9.4816e-07    |
  ForWD::bufpack    ||        13        |    1.2104e-02    |    9.3109e-04    |    4.2609e-04    |
  ForWD::bufsize    ||        13        |    1.7352e-04    |    1.3347e-05    |    3.6557e-06    |
  ForWD::clone      ||       474        |    2.9390e-01    |    6.2004e-04    |    3.6806e-04    |
  ForWD::free       ||       426        |    1.0607e-02    |    2.4898e-05    |    1.2978e-04    |
  ForWD::getUVector ||       307        |    2.7414e-03    |    8.9295e-06    |    2.4195e-06    |
  ForWD::init       ||        17        |    1.8139e-02    |    1.0670e-03    |    2.5496e-04    |
  ForWD::norm       ||        32        |    1.9142e-02    |    5.9818e-04    |    9.0696e-06    |
  ForWD::runBraid   ||        1         |    2.7445e+00    |    2.7445e+00    |    0.0000e+00    |
  ForWD::step       ||       280        |    1.5855e+00    |    5.6625e-03    |    1.0039e-03    |
  ForWD::sum        ||       296        |    1.4320e-01    |    4.8377e-04    |    8.6812e-05    |

   *** Proc = 1        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        64        |    2.3134e-04    |    3.6147e-06    |    8.5383e-07    |
  BckWD::bufpack    ||        11        |    5.5382e-03    |    5.0347e-04    |    1.1987e-04    |
  BckWD::bufsize    ||        22        |    2.7273e-04    |    1.2397e-05    |    6.1892e-06    |
  BckWD::bufunpack  ||        11        |    8.7214e-03    |    7.9286e-04    |    3.2886e-04    |
  BckWD::clone      ||       232        |    1.1249e-01    |    4.8487e-04    |    1.2929e-04    |
  BckWD::free       ||       243        |    1.3495e-03    |    5.5534e-06    |    2.6288e-06    |
  BckWD::init       ||        16        |    1.2625e-02    |    7.8909e-04    |    1.7167e-04    |
  BckWD::norm       ||        32        |    1.9551e-02    |    6.1097e-04    |    2.0279e-05    |
  BckWD::step       ||       296        |    3.3987e+00    |    1.1482e-02    |    1.4315e-03    |
  BckWD::sum        ||       296        |    1.5862e-01    |    5.3586e-04    |    1.5041e-04    |
  ForWD::access     ||        64        |    1.6052e-04    |    2.5081e-06    |    1.1474e-06    |
  ForWD::bufpack    ||        13        |    1.0411e-02    |    8.0084e-04    |    4.9360e-04    |
  ForWD::bufsize    ||        26        |    2.4953e-04    |    9.5973e-06    |    6.1680e-06    |
  ForWD::bufunpack  ||        13        |    1.2325e-02    |    9.4805e-04    |    4.8320e-04    |
  ForWD::clone      ||       457        |    2.8136e-01    |    6.1566e-04    |    3.7369e-04    |
  ForWD::free       ||       422        |    1.6970e-02    |    4.0213e-05    |    1.8730e-04    |
  ForWD::getUVector ||       296        |    3.0014e-03    |    1.0140e-05    |    2.9559e-06    |
  ForWD::init       ||        16        |    1.7569e-02    |    1.0981e-03    |    2.7058e-05    |
  ForWD::norm       ||        32        |    1.8673e-02    |    5.8352e-04    |    1.2970e-05    |
  ForWD::runBraid   ||        1         |    2.7445e+00    |    2.7445e+00    |    0.0000e+00    |
  ForWD::step       ||       280        |    1.6435e+00    |    5.8695e-03    |    1.3762e-03    |
  ForWD::sum        ||       296        |    1.3920e-01    |    4.7027e-04    |    7.9650e-05    |

   *** Proc = 2        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        64        |    2.1310e-04    |    3.3297e-06    |    4.8229e-07    |
  BckWD::bufpack    ||        11        |    6.0807e-03    |    5.5279e-04    |    3.3350e-04    |
  BckWD::bufsize    ||        22        |    2.1573e-04    |    9.8060e-06    |    4.4618e-06    |
  BckWD::bufunpack  ||        11        |    7.8218e-03    |    7.1107e-04    |    5.6732e-05    |
  BckWD::clone      ||       232        |    1.0717e-01    |    4.6196e-04    |    1.1130e-04    |
  BckWD::free       ||       243        |    1.7360e-03    |    7.1442e-06    |    2.5271e-05    |
  BckWD::init       ||        16        |    1.3843e-02    |    8.6521e-04    |    2.0773e-04    |
  BckWD::norm       ||        32        |    1.9766e-02    |    6.1768e-04    |    1.5442e-05    |
  BckWD::step       ||       296        |    3.4273e+00    |    1.1579e-02    |    9.8802e-04    |
  BckWD::sum        ||       296        |    1.5098e-01    |    5.1006e-04    |    1.1756e-04    |
  ForWD::access     ||        64        |    1.4708e-04    |    2.2981e-06    |    1.4552e-06    |
  ForWD::bufpack    ||        13        |    1.1155e-02    |    8.5808e-04    |    4.1573e-04    |
  ForWD::bufsize    ||        26        |    2.4959e-04    |    9.5998e-06    |    5.1807e-06    |
  ForWD::bufunpack  ||        13        |    1.4647e-02    |    1.1267e-03    |    4.6075e-04    |
  ForWD::clone      ||       457        |    2.8783e-01    |    6.2983e-04    |    3.6187e-04    |
  ForWD::free       ||       422        |    1.8661e-02    |    4.4220e-05    |    2.1122e-04    |
  ForWD::getUVector ||       296        |    2.6013e-03    |    8.7881e-06    |    1.8825e-06    |
  ForWD::init       ||        16        |    1.8006e-02    |    1.1254e-03    |    2.4433e-05    |
  ForWD::norm       ||        32        |    1.9218e-02    |    6.0057e-04    |    1.4620e-05    |
  ForWD::runBraid   ||        1         |    2.7445e+00    |    2.7445e+00    |    0.0000e+00    |
  ForWD::step       ||       280        |    1.6718e+00    |    5.9707e-03    |    1.2591e-03    |
  ForWD::sum        ||       296        |    1.4811e-01    |    5.0037e-04    |    1.0557e-04    |

   *** Proc = 3        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        64        |    2.4482e-04    |    3.8253e-06    |    8.0505e-07    |
  BckWD::bufpack    ||        11        |    5.7047e-03    |    5.1861e-04    |    1.1501e-04    |
  BckWD::bufsize    ||        22        |    2.4918e-04    |    1.1326e-05    |    5.7458e-06    |
  BckWD::bufunpack  ||        11        |    8.6587e-03    |    7.8715e-04    |    1.6646e-04    |
  BckWD::clone      ||       232        |    1.1072e-01    |    4.7724e-04    |    1.3180e-04    |
  BckWD::free       ||       243        |    1.4201e-03    |    5.8439e-06    |    3.0279e-06    |
  BckWD::init       ||        16        |    1.2525e-02    |    7.8280e-04    |    1.6844e-04    |
  BckWD::norm       ||        32        |    1.9677e-02    |    6.1492e-04    |    2.1061e-05    |
  BckWD::step       ||       296        |    3.4453e+00    |    1.1640e-02    |    1.1815e-03    |
  BckWD::sum        ||       296        |    1.5682e-01    |    5.2978e-04    |    1.3432e-04    |
  ForWD::access     ||        64        |    1.2568e-04    |    1.9637e-06    |    8.4051e-07    |
  ForWD::bufpack    ||        13        |    1.0772e-02    |    8.2861e-04    |    4.1651e-04    |
  ForWD::bufsize    ||        26        |    2.6279e-04    |    1.0107e-05    |    6.5214e-06    |
  ForWD::bufunpack  ||        13        |    1.2351e-02    |    9.5008e-04    |    4.1194e-04    |
  ForWD::clone      ||       457        |    2.8463e-01    |    6.2283e-04    |    3.6240e-04    |
  ForWD::free       ||       422        |    1.7636e-02    |    4.1792e-05    |    1.9371e-04    |
  ForWD::getUVector ||       296        |    3.0257e-03    |    1.0222e-05    |    2.5267e-06    |
  ForWD::init       ||        16        |    1.7557e-02    |    1.0973e-03    |    2.5942e-05    |
  ForWD::norm       ||        32        |    1.8675e-02    |    5.8360e-04    |    8.7027e-06    |
  ForWD::runBraid   ||        1         |    2.7445e+00    |    2.7445e+00    |    0.0000e+00    |
