Using ParallelNet
  Braid: Max. iterations reached.

  Braid: Max. iterations reached.

TIME FORWARD:  2.83e+00
TIME BACKWARD: 5.65e+00

   *** Proc = 0        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        65        |    5.8744e-04    |    9.0375e-06    |    4.7388e-05    |
  BckWD::bufsize    ||        11        |    1.2324e-04    |    1.1203e-05    |    3.8352e-06    |
  BckWD::bufunpack  ||        11        |    9.2694e-03    |    8.4267e-04    |    2.5971e-04    |
  BckWD::clone      ||       250        |    1.4717e-01    |    5.8869e-04    |    3.1539e-04    |
  BckWD::free       ||       261        |    7.3576e-02    |    2.8190e-04    |    3.9350e-04    |
  BckWD::init       ||        17        |    1.5645e-02    |    9.2027e-04    |    2.2092e-04    |
  BckWD::norm       ||        34        |    2.1215e-02    |    6.2396e-04    |    2.5330e-05    |
  BckWD::step       ||       307        |    4.0869e+00    |    1.3312e-02    |    2.9600e-03    |
  BckWD::sum        ||       322        |    1.6535e-01    |    5.1352e-04    |    9.9608e-05    |
  ForWD::access     ||        65        |    1.3654e-04    |    2.1006e-06    |    8.7462e-07    |
  ForWD::bufpack    ||        13        |    1.1217e-02    |    8.6285e-04    |    4.8902e-04    |
  ForWD::bufsize    ||        13        |    1.6411e-04    |    1.2624e-05    |    3.1912e-06    |
  ForWD::clone      ||       474        |    3.0980e-01    |    6.5360e-04    |    3.9650e-04    |
  ForWD::free       ||       426        |    1.8551e-02    |    4.3547e-05    |    2.1821e-04    |
  ForWD::getUVector ||       307        |    2.6920e-03    |    8.7686e-06    |    2.6776e-06    |
  ForWD::init       ||        17        |    1.8339e-02    |    1.0787e-03    |    2.5915e-04    |
  ForWD::norm       ||        32        |    1.9077e-02    |    5.9616e-04    |    1.0659e-05    |
  ForWD::runBraid   ||        1         |    2.8216e+00    |    2.8216e+00    |    0.0000e+00    |
  ForWD::step       ||       280        |    1.7136e+00    |    6.1199e-03    |    1.3996e-03    |
  ForWD::sum        ||       296        |    1.5195e-01    |    5.1336e-04    |    1.4164e-04    |

   *** Proc = 1        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
