Using ParallelNet
  Braid: Max. iterations reached.

  Braid: Max. iterations reached.

TIME FORWARD:  2.14e+00
TIME BACKWARD: 4.79e+00

   *** Proc = 0        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        33        |    7.0221e-04    |    2.1279e-05    |    1.0045e-04    |
  BckWD::bufsize    ||        11        |    1.6339e-04    |    1.4854e-05    |    7.1742e-06    |
  BckWD::bufunpack  ||        11        |    1.2961e-02    |    1.1783e-03    |    6.2139e-04    |
  BckWD::clone      ||       134        |    9.7532e-02    |    7.2785e-04    |    2.9686e-04    |
  BckWD::free       ||       145        |    2.2977e-02    |    1.5846e-04    |    3.5333e-04    |
  BckWD::init       ||        9         |    1.0430e-02    |    1.1589e-03    |    1.9851e-04    |
  BckWD::norm       ||        18        |    1.3424e-02    |    7.4577e-04    |    9.4788e-05    |
  BckWD::step       ||       159        |    2.5069e+00    |    1.5767e-02    |    4.3434e-03    |
  BckWD::sum        ||       174        |    1.4171e-01    |    8.1441e-04    |    3.2636e-04    |
  ForWD::access     ||        33        |    9.4525e-05    |    2.8644e-06    |    2.1490e-06    |
  ForWD::bufpack    ||        13        |    1.3846e-02    |    1.0651e-03    |    7.2148e-04    |
  ForWD::bufsize    ||        13        |    2.1242e-04    |    1.6340e-05    |    6.3265e-06    |
  ForWD::clone      ||       242        |    1.8880e-01    |    7.8015e-04    |    4.7515e-04    |
  ForWD::free       ||       218        |    1.2630e-02    |    5.7936e-05    |    2.5387e-04    |
  ForWD::getUVector ||       159        |    1.9398e-03    |    1.2200e-05    |    6.1955e-06    |
  ForWD::init       ||        9         |    9.3754e-03    |    1.0417e-03    |    3.6198e-04    |
  ForWD::norm       ||        16        |    1.0846e-02    |    6.7787e-04    |    3.8181e-05    |
  ForWD::runBraid   ||        1         |    2.1270e+00    |    2.1270e+00    |    0.0000e+00    |
  ForWD::step       ||       140        |    9.9639e-01    |    7.1171e-03    |    1.8720e-03    |
  ForWD::sum        ||       148        |    1.0758e-01    |    7.2688e-04    |    3.8179e-04    |

   *** Proc = 1        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        32        |    1.3292e-04    |    4.1536e-06    |    1.0875e-06    |
  BckWD::bufpack    ||        11        |    7.0438e-03    |    6.4034e-04    |    2.1324e-04    |
  BckWD::bufsize    ||        22        |    3.0908e-04    |    1.4049e-05    |    6.9307e-06    |
  BckWD::bufunpack  ||        11        |    1.1163e-02    |    1.0148e-03    |    4.1313e-04    |
  BckWD::clone      ||       116        |    8.3073e-02    |    7.1615e-04    |    3.3938e-04    |
  BckWD::free       ||       127        |    3.5942e-02    |    2.8301e-04    |    5.0323e-04    |
  BckWD::init       ||        8         |    9.1203e-03    |    1.1400e-03    |    1.2888e-04    |
  BckWD::norm       ||        16        |    1.1920e-02    |    7.4500e-04    |    1.2951e-04    |
  BckWD::step       ||       148        |    2.4469e+00    |    1.6533e-02    |    4.5310e-03    |
  BckWD::sum        ||       148        |    1.1360e-01    |    7.6754e-04    |    2.8377e-04    |
  ForWD::access     ||        32        |    9.4850e-05    |    2.9641e-06    |    1.7097e-06    |
  ForWD::bufpack    ||        13        |    1.2444e-02    |    9.5725e-04    |    6.3841e-04    |
  ForWD::bufsize    ||        26        |    2.6608e-04    |    1.0234e-05    |    6.7585e-06    |
  ForWD::bufunpack  ||        13        |    1.5630e-02    |    1.2023e-03    |    7.1061e-04    |
  ForWD::clone      ||       225        |    1.6157e-01    |    7.1809e-04    |    4.5860e-04    |
