Using ParallelNet
  Braid: Max. iterations reached.

  Braid: Max. iterations reached.

TIME FORWARD:  2.16e+00
TIME BACKWARD: 4.69e+00

   *** Proc = 0        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        33        |    5.1073e-04    |    1.5477e-05    |    6.8296e-05    |
  BckWD::bufsize    ||        11        |    1.4916e-04    |    1.3560e-05    |    4.2804e-06    |
  BckWD::bufunpack  ||        11        |    1.2539e-02    |    1.1399e-03    |    6.3415e-04    |
  BckWD::clone      ||       134        |    9.0734e-02    |    6.7712e-04    |    2.7510e-04    |
  BckWD::free       ||       145        |    7.2708e-03    |    5.0144e-05    |    1.7388e-04    |
  BckWD::init       ||        9         |    1.0607e-02    |    1.1786e-03    |    1.7832e-04    |
  BckWD::norm       ||        18        |    1.3434e-02    |    7.4631e-04    |    1.1198e-04    |
  BckWD::step       ||       159        |    2.4645e+00    |    1.5500e-02    |    4.4528e-03    |
  BckWD::sum        ||       174        |    1.3669e-01    |    7.8557e-04    |    2.9704e-04    |
  ForWD::access     ||        33        |    8.6442e-05    |    2.6195e-06    |    1.6237e-06    |
  ForWD::bufpack    ||        13        |    1.3918e-02    |    1.0707e-03    |    7.6066e-04    |
  ForWD::bufsize    ||        13        |    2.1111e-04    |    1.6240e-05    |    6.0514e-06    |
  ForWD::clone      ||       242        |    1.8197e-01    |    7.5194e-04    |    4.8876e-04    |
  ForWD::free       ||       218        |    1.2763e-02    |    5.8548e-05    |    2.4725e-04    |
  ForWD::getUVector ||       159        |    1.8817e-03    |    1.1834e-05    |    4.5838e-06    |
  ForWD::init       ||        9         |    9.3033e-03    |    1.0337e-03    |    3.5855e-04    |
  ForWD::norm       ||        16        |    1.0932e-02    |    6.8322e-04    |    7.1300e-05    |
  ForWD::runBraid   ||        1         |    2.1471e+00    |    2.1471e+00    |    0.0000e+00    |
  ForWD::step       ||       140        |    9.8686e-01    |    7.0490e-03    |    1.8831e-03    |
  ForWD::sum        ||       148        |    1.0448e-01    |    7.0593e-04    |    3.3476e-04    |

   *** Proc = 1        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        32        |    1.3484e-04    |    4.2138e-06    |    9.2072e-07    |
  BckWD::bufpack    ||        11        |    9.3420e-03    |    8.4928e-04    |    3.8168e-04    |
  BckWD::bufsize    ||        22        |    3.0024e-04    |    1.3647e-05    |    6.7211e-06    |
  BckWD::bufunpack  ||        11        |    1.4075e-02    |    1.2796e-03    |    5.6432e-04    |
  BckWD::clone      ||       116        |    9.5126e-02    |    8.2005e-04    |    4.1544e-04    |
  BckWD::free       ||       127        |    4.4317e-02    |    3.4895e-04    |    5.8455e-04    |
  BckWD::init       ||        8         |    8.6722e-03    |    1.0840e-03    |    2.1532e-04    |
  BckWD::norm       ||        16        |    1.1941e-02    |    7.4631e-04    |    1.1042e-04    |
  BckWD::step       ||       148        |    2.4709e+00    |    1.6695e-02    |    5.3054e-03    |
  BckWD::sum        ||       148        |    1.1982e-01    |    8.0959e-04    |    3.2930e-04    |
  ForWD::access     ||        32        |    1.0028e-04    |    3.1337e-06    |    1.8290e-06    |
  ForWD::bufpack    ||        13        |    1.2900e-02    |    9.9228e-04    |    6.7462e-04    |
  ForWD::bufsize    ||        26        |    2.7781e-04    |    1.0685e-05    |    7.1919e-06    |
  ForWD::bufunpack  ||        13        |    1.4643e-02    |    1.1264e-03    |    6.7467e-04    |
  ForWD::clone      ||       225        |    1.5748e-01    |    6.9992e-04    |    4.9031e-04    |
  ForWD::free       ||       214        |    1.3546e-02    |    6.3299e-05    |    2.4155e-04    |
  ForWD::getUVector ||       148        |    2.0109e-03    |    1.3587e-05    |    5.3333e-06    |
  ForWD::init       ||        8         |    1.1203e-02    |    1.4003e-03    |    6.7525e-04    |
  ForWD::norm       ||        16        |    1.0987e-02    |    6.8666e-04    |    4.9987e-05    |
  ForWD::runBraid   ||        1         |    2.1471e+00    |    2.1471e+00    |    0.0000e+00    |
