Using ParallelNet
  Braid: Max. iterations reached.

  Braid: Max. iterations reached.

TIME FORWARD:  4.29e+00
TIME BACKWARD: 8.60e+00

   *** Proc = 0        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||       129        |    7.8700e-04    |    6.1008e-06    |    2.9751e-05    |
  BckWD::bufsize    ||        11        |    1.3005e-04    |    1.1822e-05    |    3.7185e-06    |
  BckWD::bufunpack  ||        11        |    9.8797e-03    |    8.9815e-04    |    3.7985e-04    |
  BckWD::clone      ||       482        |    2.4553e-01    |    5.0939e-04    |    3.0813e-04    |
  BckWD::free       ||       493        |    1.2801e-01    |    2.5966e-04    |    3.4769e-04    |
  BckWD::init       ||        33        |    2.7318e-02    |    8.2783e-04    |    2.0489e-04    |
  BckWD::norm       ||        66        |    3.8384e-02    |    5.8158e-04    |    1.2725e-05    |
  BckWD::step       ||       603        |    7.1216e+00    |    1.1810e-02    |    2.6186e-03    |
  BckWD::sum        ||       618        |    2.8243e-01    |    4.5701e-04    |    1.0547e-04    |
  ForWD::access     ||       129        |    2.4987e-04    |    1.9370e-06    |    8.3107e-07    |
  ForWD::bufpack    ||        13        |    1.2252e-02    |    9.4248e-04    |    3.2557e-04    |
  ForWD::bufsize    ||        13        |    1.7844e-04    |    1.3727e-05    |    4.4591e-06    |
  ForWD::clone      ||       938        |    5.3461e-01    |    5.6995e-04    |    3.5051e-04    |
  ForWD::free       ||       842        |    1.7579e-02    |    2.0878e-05    |    1.3074e-04    |
  ForWD::getUVector ||       603        |    4.8021e-03    |    7.9637e-06    |    1.7140e-06    |
  ForWD::init       ||        33        |    3.5679e-02    |    1.0812e-03    |    1.8281e-04    |
  ForWD::norm       ||        64        |    3.5499e-02    |    5.5467e-04    |    4.1961e-06    |
  ForWD::runBraid   ||        1         |    4.2768e+00    |    4.2768e+00    |    0.0000e+00    |
  ForWD::step       ||       560        |    2.8477e+00    |    5.0852e-03    |    8.9674e-04    |
  ForWD::sum        ||       592        |    2.7223e-01    |    4.5984e-04    |    1.3061e-04    |

   *** Proc = 1        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||       128        |    4.3760e-04    |    3.4187e-06    |    6.9263e-07    |
  BckWD::bufpack    ||        11        |    4.6927e-03    |    4.2661e-04    |    1.2023e-04    |
  BckWD::bufsize    ||        22        |    2.5886e-04    |    1.1766e-05    |    5.6579e-06    |
  BckWD::bufunpack  ||        11        |    8.7989e-03    |    7.9990e-04    |    3.7327e-04    |
  BckWD::clone      ||       464        |    1.7455e-01    |    3.7618e-04    |    1.6409e-04    |
