Using ParallelNet
  Braid: Max. iterations reached.

  Braid: Max. iterations reached.

TIME FORWARD:  2.16e+00
TIME BACKWARD: 4.72e+00

   *** Proc = 0        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        33        |    7.4384e-04    |    2.2540e-05    |    1.0891e-04    |
  BckWD::bufsize    ||        11        |    1.2481e-04    |    1.1346e-05    |    3.2787e-06    |
  BckWD::bufunpack  ||        11        |    1.1572e-02    |    1.0520e-03    |    4.6149e-04    |
  BckWD::clone      ||       134        |    9.2860e-02    |    6.9298e-04    |    2.5882e-04    |
  BckWD::free       ||       145        |    1.0357e-03    |    7.1430e-06    |    4.6809e-06    |
  BckWD::init       ||        9         |    1.0106e-02    |    1.1229e-03    |    1.7061e-04    |
  BckWD::norm       ||        18        |    1.3273e-02    |    7.3737e-04    |    1.1136e-04    |
  BckWD::step       ||       159        |    2.3999e+00    |    1.5094e-02    |    3.9199e-03    |
  BckWD::sum        ||       174        |    1.3629e-01    |    7.8329e-04    |    3.1505e-04    |
  ForWD::access     ||        33        |    8.3972e-05    |    2.5446e-06    |    2.0930e-06    |
  ForWD::bufpack    ||        13        |    1.4278e-02    |    1.0983e-03    |    7.6277e-04    |
  ForWD::bufsize    ||        13        |    2.0404e-04    |    1.5696e-05    |    5.9391e-06    |
  ForWD::clone      ||       242        |    1.8660e-01    |    7.7109e-04    |    5.0731e-04    |
  ForWD::free       ||       218        |    1.1600e-02    |    5.3213e-05    |    2.3787e-04    |
  ForWD::getUVector ||       159        |    2.0120e-03    |    1.2654e-05    |    6.0507e-06    |
  ForWD::init       ||        9         |    1.1486e-02    |    1.2763e-03    |    7.5499e-04    |
  ForWD::norm       ||        16        |    1.0767e-02    |    6.7295e-04    |    6.0532e-05    |
  ForWD::runBraid   ||        1         |    2.1503e+00    |    2.1503e+00    |    0.0000e+00    |
  ForWD::step       ||       140        |    9.9069e-01    |    7.0764e-03    |    1.8337e-03    |
  ForWD::sum        ||       148        |    1.0559e-01    |    7.1347e-04    |    3.5662e-04    |

   *** Proc = 1        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        32        |    1.3717e-04    |    4.2864e-06    |    8.3986e-07    |
  BckWD::bufpack    ||        11        |    8.1231e-03    |    7.3847e-04    |    4.4039e-04    |
  BckWD::bufsize    ||        22        |    2.8428e-04    |    1.2922e-05    |    6.2075e-06    |
  BckWD::bufunpack  ||        11        |    1.4879e-02    |    1.3526e-03    |    6.7728e-04    |
  BckWD::clone      ||       116        |    9.9185e-02    |    8.5504e-04    |    3.8398e-04    |
  BckWD::free       ||       127        |    4.0897e-02    |    3.2202e-04    |    5.4089e-04    |
  BckWD::init       ||        8         |    9.1659e-03    |    1.1457e-03    |    1.1347e-04    |
  BckWD::norm       ||        16        |    1.1482e-02    |    7.1760e-04    |    7.1919e-05    |
  BckWD::step       ||       148        |    2.5067e+00    |    1.6937e-02    |    4.8914e-03    |
  BckWD::sum        ||       148        |    1.1507e-01    |    7.7750e-04    |    2.9817e-04    |
  ForWD::access     ||        32        |    1.0027e-04    |    3.1334e-06    |    1.9934e-06    |
  ForWD::bufpack    ||        13        |    1.3032e-02    |    1.0025e-03    |    6.8121e-04    |
  ForWD::bufsize    ||        26        |    2.7676e-04    |    1.0645e-05    |    7.2730e-06    |
  ForWD::bufunpack  ||        13        |    1.4874e-02    |    1.1442e-03    |    6.6315e-04    |
  ForWD::clone      ||       225        |    1.5330e-01    |    6.8134e-04    |    4.3871e-04    |
  ForWD::free       ||       214        |    1.3264e-02    |    6.1983e-05    |    2.3162e-04    |
  ForWD::getUVector ||       148        |    1.9943e-03    |    1.3475e-05    |    4.4340e-06    |
  ForWD::init       ||        8         |    9.9250e-03    |    1.2406e-03    |    1.0067e-04    |
  ForWD::norm       ||        16        |    1.1123e-02    |    6.9520e-04    |    6.1332e-05    |
  ForWD::runBraid   ||        1         |    2.1500e+00    |    2.1500e+00    |    0.0000e+00    |
  ForWD::step       ||       140        |    9.5411e-01    |    6.8151e-03    |    1.7808e-03    |
  ForWD::sum        ||       148        |    9.1451e-02    |    6.1791e-04    |    2.7957e-04    |

   *** Proc = 2        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        32        |    1.4626e-04    |    4.5707e-06    |    1.1418e-06    |
  BckWD::bufpack    ||        11        |    1.0620e-02    |    9.6542e-04    |    4.0288e-04    |
  BckWD::bufsize    ||        22        |    2.7843e-04    |    1.2656e-05    |    6.2193e-06    |
  BckWD::bufunpack  ||        11        |    1.0901e-02    |    9.9098e-04    |    3.4291e-04    |
  BckWD::clone      ||       116        |    8.3238e-02    |    7.1757e-04    |    2.4638e-04    |
  BckWD::free       ||       127        |    1.6540e-03    |    1.3024e-05    |    5.3534e-05    |
  BckWD::init       ||        8         |    8.7218e-03    |    1.0902e-03    |    1.4087e-04    |
  BckWD::norm       ||        16        |    1.2629e-02    |    7.8932e-04    |    1.3640e-04    |
  BckWD::step       ||       148        |    2.3714e+00    |    1.6023e-02    |    3.3689e-03    |
  BckWD::sum        ||       148        |    1.2163e-01    |    8.2185e-04    |    2.9350e-04    |
  ForWD::access     ||        32        |    9.1591e-05    |    2.8622e-06    |    1.4365e-06    |
  ForWD::bufpack    ||        13        |    1.3049e-02    |    1.0038e-03    |    5.4655e-04    |
  ForWD::bufsize    ||        26        |    3.0671e-04    |    1.1797e-05    |    8.4168e-06    |
  ForWD::bufunpack  ||        13        |    1.5005e-02    |    1.1542e-03    |    5.8869e-04    |
  ForWD::clone      ||       225        |    1.7296e-01    |    7.6873e-04    |    4.6563e-04    |
  ForWD::free       ||       214        |    1.2181e-02    |    5.6919e-05    |    2.1974e-04    |
  ForWD::getUVector ||       148        |    1.8798e-03    |    1.2701e-05    |    4.6749e-06    |
  ForWD::init       ||        8         |    9.1510e-03    |    1.1439e-03    |    3.6587e-05    |
  ForWD::norm       ||        16        |    1.1324e-02    |    7.0776e-04    |    5.1131e-05    |
  ForWD::runBraid   ||        1         |    2.1503e+00    |    2.1503e+00    |    0.0000e+00    |
  ForWD::step       ||       140        |    1.0106e+00    |    7.2184e-03    |    1.7206e-03    |
  ForWD::sum        ||       148        |    1.0676e-01    |    7.2133e-04    |    3.3472e-04    |

   *** Proc = 3        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        32        |    1.4026e-04    |    4.3830e-06    |    1.1118e-06    |
  BckWD::bufpack    ||        11        |    1.0164e-02    |    9.2396e-04    |    5.3514e-04    |
  BckWD::bufsize    ||        22        |    2.9152e-04    |    1.3251e-05    |    6.2447e-06    |
  BckWD::bufunpack  ||        11        |    1.1024e-02    |    1.0022e-03    |    3.4736e-04    |
  BckWD::clone      ||       116        |    8.4956e-02    |    7.3238e-04    |    2.6906e-04    |
  BckWD::free       ||       127        |    3.2370e-02    |    2.5488e-04    |    4.8918e-04    |
  BckWD::init       ||        8         |    9.0058e-03    |    1.1257e-03    |    1.0109e-04    |
  BckWD::norm       ||        16        |    1.2898e-02    |    8.0613e-04    |    1.2020e-04    |
  BckWD::step       ||       148        |    2.4879e+00    |    1.6810e-02    |    4.0441e-03    |
  BckWD::sum        ||       148        |    1.1984e-01    |    8.0975e-04    |    3.1753e-04    |
  ForWD::access     ||        32        |    1.1206e-04    |    3.5018e-06    |    2.1550e-06    |
  ForWD::bufpack    ||        13        |    1.3213e-02    |    1.0164e-03    |    5.9777e-04    |
  ForWD::bufsize    ||        26        |    3.1106e-04    |    1.1964e-05    |    7.6770e-06    |
  ForWD::bufunpack  ||        13        |    1.5622e-02    |    1.2017e-03    |    5.2294e-04    |
  ForWD::clone      ||       225        |    1.5884e-01    |    7.0597e-04    |    4.0219e-04    |
  ForWD::free       ||       214        |    1.3770e-02    |    6.4348e-05    |    2.4378e-04    |
  ForWD::getUVector ||       148        |    1.9168e-03    |    1.2951e-05    |    3.8952e-06    |
  ForWD::init       ||        8         |    1.1608e-02    |    1.4509e-03    |    7.0848e-04    |
  ForWD::norm       ||        16        |    1.1114e-02    |    6.9460e-04    |    6.0221e-05    |
  ForWD::runBraid   ||        1         |    2.1503e+00    |    2.1503e+00    |    0.0000e+00    |
  ForWD::step       ||       140        |    9.9267e-01    |    7.0905e-03    |    1.6333e-03    |
  ForWD::sum        ||       148        |    1.0168e-01    |    6.8703e-04    |    2.9432e-04    |

   *** Proc = 4        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        32        |    1.1664e-04    |    3.6449e-06    |    9.0859e-07    |
  BckWD::bufpack    ||        11        |    9.3986e-03    |    8.5442e-04    |    4.8542e-04    |
  BckWD::bufsize    ||        22        |    2.6536e-04    |    1.2062e-05    |    6.2091e-06    |
  BckWD::bufunpack  ||        11        |    1.2225e-02    |    1.1114e-03    |    4.6471e-04    |
  BckWD::clone      ||       116        |    9.4960e-02    |    8.1862e-04    |    3.2609e-04    |
  BckWD::free       ||       127        |    3.0018e-02    |    2.3636e-04    |    5.2521e-04    |
  BckWD::init       ||        8         |    8.8733e-03    |    1.1092e-03    |    1.0912e-04    |
  BckWD::norm       ||        16        |    1.3010e-02    |    8.1312e-04    |    1.4140e-04    |
  BckWD::step       ||       148        |    2.6237e+00    |    1.7728e-02    |    3.9138e-03    |
  BckWD::sum        ||       148        |    1.2414e-01    |    8.3882e-04    |    3.0189e-04    |
  ForWD::access     ||        32        |    9.9273e-05    |    3.1023e-06    |    2.4446e-06    |
  ForWD::bufpack    ||        13        |    1.2687e-02    |    9.7592e-04    |    5.3169e-04    |
  ForWD::bufsize    ||        26        |    2.8232e-04    |    1.0858e-05    |    6.8936e-06    |
  ForWD::bufunpack  ||        13        |    1.3741e-02    |    1.0570e-03    |    5.1506e-04    |
  ForWD::clone      ||       225        |    1.7488e-01    |    7.7723e-04    |    4.4577e-04    |
  ForWD::free       ||       214        |    1.2148e-02    |    5.6767e-05    |    2.9259e-04    |
  ForWD::getUVector ||       148        |    1.8727e-03    |    1.2653e-05    |    5.4105e-06    |
  ForWD::init       ||        8         |    9.8689e-03    |    1.2336e-03    |    4.7093e-05    |
  ForWD::norm       ||        16        |    1.1751e-02    |    7.3447e-04    |    6.2856e-05    |
  ForWD::runBraid   ||        1         |    2.1293e+00    |    2.1293e+00    |    0.0000e+00    |
  ForWD::step       ||       140        |    1.0558e+00    |    7.5411e-03    |    1.6725e-03    |
  ForWD::sum        ||       148        |    9.9858e-02    |    6.7471e-04    |    3.0039e-04    |

   *** Proc = 5        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        32        |    1.4699e-04    |    4.5933e-06    |    1.5175e-06    |
  BckWD::bufpack    ||        11        |    8.3336e-03    |    7.5760e-04    |    4.6208e-04    |
  BckWD::bufsize    ||        22        |    2.8527e-04    |    1.2967e-05    |    5.8768e-06    |
  BckWD::bufunpack  ||        11        |    1.4481e-02    |    1.3164e-03    |    5.3542e-04    |
  BckWD::clone      ||       116        |    8.9793e-02    |    7.7408e-04    |    2.8907e-04    |
  BckWD::free       ||       127        |    1.8832e-02    |    1.4828e-04    |    3.8450e-04    |
  BckWD::init       ||        8         |    9.7889e-03    |    1.2236e-03    |    1.4348e-04    |
  BckWD::norm       ||        16        |    1.2910e-02    |    8.0690e-04    |    1.0461e-04    |
  BckWD::step       ||       148        |    2.5020e+00    |    1.6906e-02    |    3.2864e-03    |
  BckWD::sum        ||       148        |    1.1079e-01    |    7.4859e-04    |    2.2174e-04    |
  ForWD::access     ||        32        |    9.2796e-05    |    2.8999e-06    |    2.1402e-06    |
  ForWD::bufpack    ||        13        |    1.3874e-02    |    1.0672e-03    |    5.7147e-04    |
  ForWD::bufsize    ||        26        |    3.0823e-04    |    1.1855e-05    |    7.7426e-06    |
  ForWD::bufunpack  ||        13        |    1.6212e-02    |    1.2470e-03    |    6.0660e-04    |
  ForWD::clone      ||       225        |    1.6813e-01    |    7.4724e-04    |    3.8853e-04    |
  ForWD::free       ||       214        |    1.4371e-02    |    6.7156e-05    |    2.5242e-04    |
  ForWD::getUVector ||       148        |    2.0446e-03    |    1.3815e-05    |    4.5254e-06    |
  ForWD::init       ||        8         |    1.0672e-02    |    1.3339e-03    |    1.4190e-04    |
  ForWD::norm       ||        16        |    1.1179e-02    |    6.9869e-04    |    7.4261e-05    |
  ForWD::runBraid   ||        1         |    2.1503e+00    |    2.1503e+00    |    0.0000e+00    |
  ForWD::step       ||       140        |    1.0156e+00    |    7.2541e-03    |    1.5813e-03    |
  ForWD::sum        ||       148        |    9.6030e-02    |    6.4885e-04    |    2.5633e-04    |

   *** Proc = 6        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        32        |    1.4717e-04    |    4.5990e-06    |    1.5360e-06    |
  BckWD::bufpack    ||        11        |    9.1419e-03    |    8.3108e-04    |    4.6354e-04    |
  BckWD::bufsize    ||        22        |    2.9151e-04    |    1.3250e-05    |    6.6462e-06    |
  BckWD::bufunpack  ||        11        |    1.3825e-02    |    1.2568e-03    |    5.0871e-04    |
  BckWD::clone      ||       116        |    9.2195e-02    |    7.9478e-04    |    2.7558e-04    |
  BckWD::free       ||       127        |    3.2238e-02    |    2.5384e-04    |    4.6997e-04    |
  BckWD::init       ||        8         |    1.0296e-02    |    1.2870e-03    |    1.3191e-04    |
  BckWD::norm       ||        16        |    1.3444e-02    |    8.4026e-04    |    1.3910e-04    |
  BckWD::step       ||       148        |    2.6189e+00    |    1.7695e-02    |    3.0973e-03    |
  BckWD::sum        ||       148        |    1.1779e-01    |    7.9587e-04    |    2.8408e-04    |
  ForWD::access     ||        32        |    9.5933e-05    |    2.9979e-06    |    2.4788e-06    |
  ForWD::bufpack    ||        13        |    1.4960e-02    |    1.1508e-03    |    5.5686e-04    |
  ForWD::bufsize    ||        26        |    3.3481e-04    |    1.2877e-05    |    9.5721e-06    |
  ForWD::bufunpack  ||        13        |    1.6058e-02    |    1.2352e-03    |    5.4929e-04    |
  ForWD::clone      ||       225        |    1.7845e-01    |    7.9311e-04    |    4.0328e-04    |
  ForWD::free       ||       214        |    1.4962e-02    |    6.9915e-05    |    2.5919e-04    |
  ForWD::getUVector ||       148        |    1.9963e-03    |    1.3489e-05    |    6.0345e-06    |
  ForWD::init       ||        8         |    1.0659e-02    |    1.3324e-03    |    1.3148e-04    |
