Using ParallelNet
  Braid: Max. iterations reached.

  Braid: Max. iterations reached.

TIME FORWARD:  2.79e+00
TIME BACKWARD: 5.22e+00

   *** Proc = 0        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        65        |    7.3055e-04    |    1.1239e-05    |    6.3925e-05    |
  BckWD::bufsize    ||        11        |    1.3298e-04    |    1.2089e-05    |    3.4896e-06    |
  BckWD::bufunpack  ||        11        |    6.8622e-03    |    6.2384e-04    |    1.1815e-04    |
  BckWD::clone      ||       250        |    1.1418e-01    |    4.5671e-04    |    1.3399e-04    |
  BckWD::free       ||       261        |    1.7603e-02    |    6.7446e-05    |    1.6065e-04    |
  BckWD::init       ||        17        |    1.4976e-02    |    8.8091e-04    |    2.1156e-04    |
  BckWD::norm       ||        34        |    2.1350e-02    |    6.2793e-04    |    3.0061e-05    |
  BckWD::step       ||       307        |    3.6958e+00    |    1.2038e-02    |    2.0121e-03    |
  BckWD::sum        ||       322        |    1.6898e-01    |    5.2479e-04    |    1.0993e-04    |
  ForWD::access     ||        65        |    1.4995e-04    |    2.3069e-06    |    1.2910e-06    |
  ForWD::bufpack    ||        13        |    1.1232e-02    |    8.6400e-04    |    5.0472e-04    |
  ForWD::bufsize    ||        13        |    1.6189e-04    |    1.2453e-05    |    3.2216e-06    |
  ForWD::clone      ||       474        |    3.1263e-01    |    6.5955e-04    |    3.9980e-04    |
  ForWD::free       ||       426        |    1.7407e-02    |    4.0861e-05    |    2.0588e-04    |
  ForWD::getUVector ||       307        |    2.8650e-03    |    9.3323e-06    |    2.7604e-06    |
  ForWD::init       ||        17        |    1.8376e-02    |    1.0809e-03    |    2.5897e-04    |
  ForWD::norm       ||        32        |    1.9275e-02    |    6.0233e-04    |    1.6576e-05    |
  ForWD::runBraid   ||        1         |    2.7772e+00    |    2.7772e+00    |    0.0000e+00    |
  ForWD::step       ||       280        |    1.7324e+00    |    6.1872e-03    |    1.4487e-03    |
  ForWD::sum        ||       296        |    1.4455e-01    |    4.8833e-04    |    1.0321e-04    |

   *** Proc = 1        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        64        |    2.5231e-04    |    3.9424e-06    |    8.4439e-07    |
  BckWD::bufpack    ||        11        |    5.7529e-03    |    5.2299e-04    |    1.1844e-04    |
  BckWD::bufsize    ||        22        |    2.9543e-04    |    1.3428e-05    |    7.2653e-06    |
